Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2015-01-01,276.72540283203125,280.31918993203675,275.93920258934867,279.66219183063356,60500
2015-01-02,277.31884765625,278.85184288545355,274.0141286927371,274.0141286927371,136860
2015-01-05,277.4678039550781,279.0051837346205,275.5011939859911,279.0051837346205,213800
2015-01-06,273.6090087890625,276.5107500077353,272.43517554935596,275.7639547823555,263180
2015-01-07,274.7543640136719,276.33117524156626,273.6418570328668,274.40616256167175,713460
2015-01-08,275.9588317871094,277.91012311558933,274.84413278964905,274.84413278964905,150480
2015-01-09,279.7212829589844,283.82094406584605,274.778453031548,279.00515086115445,409840
2015-01-12,283.0675354003906,285.57506651039756,279.6839804205377,281.19508082772273,951140
2015-01-13,294.1007385253906,295.25484236790425,283.3850911298255,283.3850911298255,1102160
2015-01-14,297.0440368652344,303.5329862628261,292.79982997066855,294.99201478789814,748060
2015-01-15,298.2376403808594,303.9710543061514,296.1330601364926,300.8700164685356,1195060
2015-01-16,305.95074462890625,306.8179731718638,295.21320414823225,296.1746141386879,997040
2015-01-19,309.8379821777344,310.9789598065912,305.9222742060486,306.817973724672,708280
2015-01-20,309.86212158203125,311.4170112988155,306.599026595177,309.7964110972926,568620
2015-01-21,310.1029052734375,311.8548990885417,308.2676906827837,310.4423647684356,622080
2015-01-22,310.84979248046875,314.04498466477816,308.876606721281,309.8839981176158,1082980
2015-01-23,317.91473388671875,319.3009898772132,313.0814042064676,313.0814042064676,917320
2015-01-27,321.93121337890625,325.43301059380406,317.8096309389516,317.91258094333796,907000
2015-01-28,319.9163513183594,325.0387209565624,316.0181534377504,321.70994259108164,475240
2015-01-29,315.99188232421875,322.58156334086135,313.08137326470114,319.7389568918512,440800
2015-01-30,311.5506591796875,316.23505844034435,310.9790740895353,316.23505844034435,607740
2015-02-02,309.211669921875,313.67487638615256,305.56313437571447,311.58342253670816,494320
2015-02-03,310.0372619628906,314.92095647357246,304.4089913061653,311.460757245977,378180
2015-02-04,305.62457275390625,312.69385189795287,304.67190413500174,310.01549395680337,131760
2015-02-05,302.18182373046875,308.78904287469607,298.27707545768516,308.78904287469607,340860
2015-02-06,301.5423889160156,305.28508015366083,300.02909599032665,302.2190893917159,177620
2015-02-09,299.3894958496094,303.5329714328422,296.08918879589186,301.78097736973774,311020
2015-02-10,297.5828552246094,307.38745967949876,296.3937038123288,302.2190807467254,318040
2015-02-11,301.3890380859375,306.59904033311597,298.05806706669347,302.17526487306407,274160
2015-02-12,298.9165344238281,305.2850244490304,296.9762038322429,301.5620363459935,257740
2015-02-13,308.0729064941406,310.88268485487373,299.1530685446599,299.5866829171966,573700
2015-02-16,313.05291748046875,318.5125816966502,311.07973168330994,316.4977721318965,477900
2015-02-18,314.0143737792969,316.45402950541967,309.2292438009128,313.16903957975785,643780
2015-02-19,308.4254455566406,314.2639739801637,307.1990549072827,314.2639739801637,230180
2015-02-20,314.3384094238281,317.0102165978252,307.69397895785147,308.8327644855816,2695220
2015-02-23,306.574951171875,315.58677823932567,304.95654304245267,315.58677823932567,584180
2015-02-24,307.0260314941406,310.09640569298557,303.5330036533588,306.6822143854151,1165940
2015-02-25,308.8985595703125,309.8840565700051,307.03706523755983,307.6590158587037,858920
2015-02-26,307.44873046875,310.9658452352302,304.4090191933715,310.9658452352302,514040
2015-02-27,307.51446533203125,309.1788547546481,306.5771418617572,308.5547120628311,1312840
2015-03-02,306.16326904296875,308.7846847232697,304.4068900611848,308.7846847232697,521600
2015-03-03,310.81475830078125,313.6288939751967,303.6337626580938,308.35101616170516,524860
2015-03-04,319.72802734375,320.5711960617773,311.5462164477954,313.7822175493972,905620
2015-03-05,319.56158447265625,322.6494960737382,317.386936334851,319.7389867424971,607680
2015-03-09,323.4313049316406,325.2139624523399,316.8919890023811,319.60758568534607,431520
2015-03-10,323.9941101074219,328.7179127200969,321.90484846325586,323.5451508990571,365160
2015-03-11,318.8935852050781,326.12275290593027,317.68032075176706,323.6633954970019,386900
2015-03-12,321.00482177734375,323.2386040929863,319.74338358655524,319.74338358655524,274020
2015-03-13,319.6951599121094,322.26620932285437,317.726358521882,322.16325934384986,430300
2015-03-16,318.7228088378906,321.8369723779839,317.76797512545596,321.8369723779839,254460
2015-03-17,323.6481018066406,324.1189556361529,319.73896974917784,319.73896974917784,541880
2015-03-18,324.4868469238281,324.9949134625421,322.629710676634,324.55691492687833,992220
2015-03-19,322.6889953613281,324.99506514387855,320.65886692369764,324.99506514387855,540260
2015-03-20,318.16650390625,324.1189157569285,316.45394139781195,324.1189157569285,548920
2015-03-23,312.4638366699219,319.0557104431257,310.5410163445436,319.038200122614,472500
2015-03-24,307.5472717285156,314.920987648848,306.1610158088244,314.7019883528474,535500
2015-03-25,308.42987060546875,310.7578343822321,305.3726487372007,305.3726487372007,542640
2015-03-26,299.81878662109375,307.9524231907075,296.30602957100274,307.47499299163917,847220
2015-03-27,298.4981994628906,302.96140568953496,296.5688030471966,302.1313898951206,524860
2015-03-30,304.146240234375,306.55523254784816,299.5910440755732,299.5910440755732,903860
2015-03-31,304.29296875,312.38062513462233,299.04794590159725,304.40904480178324,1284000
2015-04-01,303.2330627441406,309.2248815878261,300.9050986481486,308.83286420741445,274980
2015-04-06,311.9141845703125,313.1690464722025,303.3754027076134,306.1128943725802,498260
2015-04-07,313.4953308105469,314.2618284216529,309.4087960614359,311.9163542863292,354360
2015-04-08,308.6225891113281,313.96398555297475,307.03703622696673,312.9938068356192,253900
2015-04-09,311.0227966308594,311.5046111331154,309.22701305573065,309.22701305573065,609340
2015-04-10,310.9132995605469,312.7178516773526,309.44601492478796,311.94261232392233,899140
2015-04-13,310.91552734375,311.85285088341567,309.49860810784327,311.85285088341567,590040
2015-04-15,309.59490966796875,311.3885009145864,307.69398418097717,311.02276249800957,468540
2015-04-16,307.7728271484375,310.7599805571391,306.16099564403135,309.59491614180854,528120
2015-04-17,306.6362609863281,308.9204087257074,306.1610228790396,307.66116274462405,286920
2015-04-20,304.5492248535156,307.03705398019315,302.2190688250118,306.64284450144277,305160
2015-04-21,301.6868896484375,306.5902877638409,300.6860744916307,306.5902877638409,222660
2015-04-22,300.994873046875,303.9710664208107,298.94723468241824,301.6496788971133,347480
2015-04-23,302.60015869140625,303.70830823059475,300.72989569416535,303.70830823059475,716540
2015-04-24,300.0180969238281,304.4090438248432,296.96745147687267,304.4090438248432,212780
2015-04-27,299.94580078125,300.8174136615006,296.1264660684648,299.9852324153553,684780
2015-04-28,299.4530944824219,300.02467949077374,297.6397737249031,299.5910651212182,506520
2015-04-29,287.5657958984375,301.34085781611896,285.79409896946436,301.34085781611896,833100
2015-04-30,287.87896728515625,293.8948717064439,285.83352128594737,287.55485259491525,858380
2015-05-04,297.9026794433594,298.27715983386184,290.10411461781644,291.7071783397239,338820
2015-05-05,298.16314697265625,299.372027322275,296.6126416343648,298.23324171561734,291640
2015-05-06,297.95941162109375,298.71494826759846,295.9227080986748,298.250670971588,348660
2015-05-07,296.4177551269531,300.0290515725444,294.55406887961476,300.0290515725444,570180
2015-05-08,297.677001953125,300.902857487212,296.13085400446045,296.13085400446045,449040
2015-05-11,298.1150207519531,300.9050699900515,296.227247655846,300.33129283276554,787160
2015-05-12,293.65399169921875,299.8100591729982,292.58308185180834,298.37341084927976,761380
2015-05-13,293.5247802734375,298.30552549532524,291.2690767302462,293.6912218845199,690220
2015-05-14,300.22613525390625,303.0818678477323,293.67805106544165,293.67805106544165,404840
2015-05-15,307.9700622558594,308.78911777711306,300.4737179505593,301.12413967626276,462760
2015-05-18,309.98699951171875,321.88525115236644,304.0148830372739,310.9834572346344,753320
2015-05-19,309.0130615234375,314.6954637824675,303.4647476749814,312.14773031399756,522280
2015-05-20,306.0631103515625,312.86442932092064,301.3765086181388,310.77171579188735,605100
2015-05-21,305.5047912597656,307.7074160714504,300.27740798086757,302.25140890244523,618140
2015-05-22,307.5711669921875,313.0051711555599,304.5881615166685,305.55318522819977,847920
2015-05-25,304.9639587402344,308.3624308296227,303.57469316779475,304.4979363888821,258300
2015-05-26,299.1936340332031,307.4435743697153,287.31225053047467,305.9927520328685,1256800
2015-05-27,310.49908447265625,313.68650870264105,297.9032524716854,299.19360865557616,1234000
2015-05-28,310.285888671875,316.98387011130256,305.79490566780095,311.7081330220715,684300
2015-05-29,296.82830810546875,310.2858249257164,288.6179224800928,307.3995566127627,2166760
2015-06-01,293.2518615722656,296.01281676017436,287.1297867142995,294.56199439335256,1366460
2015-06-02,299.1014099121094,307.747016862217,296.9867191016363,297.72751965494666,1503080
2015-06-03,272.00604248046875,287.2199421822421,262.90759013363225,285.76911971046985,7808880
2015-06-04,263.9825744628906,265.98515368087897,255.01820887641125,258.51119068488737,8609540
2015-06-05,264.29681396484375,269.28239700773804,251.08109446015007,256.31287747838576,15123780
2015-06-08,244.8381805419922,257.1921877140587,241.84857467076503,257.1921877140587,6897380
2015-06-09,262.2195129394531,269.06258448252765,242.90372210228193,245.77678870978434,11377620
2015-06-10,266.44000244140625,274.33822946021144,264.72100386815674,265.9805813494376,4943000
2015-06-11,271.02777099609375,277.2399531129042,262.7207021563592,270.7727963756782,6056040
2015-06-12,267.62054443359375,271.8983061794899,260.50489509275803,271.8983061794899,2093980
2015-06-15,261.81072998046875,265.98515602627674,259.05634832960664,265.8972216823191,1461340
2015-06-16,254.31918334960938,259.3465214006493,253.01562449387083,259.3465214006493,1749640
2015-06-17,256.7042541503906,259.39047791375987,248.44330972252604,252.57598230755093,2810340
2015-06-18,267.3766784667969,269.41443723385675,257.1923122084869,257.80782591139473,2379380
2015-06-19,276.14093017578125,278.0753783237244,264.22656501590257,264.22656501590257,2916820
2015-06-22,276.82672119140625,281.86285967474777,273.23923158280127,275.9210540152637,1578880
2015-06-23,269.4077453613281,276.5365980870866,268.1877470582773,276.5365980870866,1087660
2015-06-24,263.9671936035156,270.95975890966713,262.9560156581317,270.38162476872037,1100560
2015-06-25,256.59649658203125,265.9411489053629,255.4446293585736,264.0067010616537,2730260
2015-06-26,261.9469299316406,262.4679078714008,258.07146050337064,260.35761850150334,1517260
2015-06-29,266.9104309082031,267.63365487450847,256.11496078871875,256.11496078871875,1641920
2015-06-30,279.2711486816406,281.0209531806493,264.7540960637626,264.7540960637626,5053860
2015-07-01,270.13751220703125,285.50530142046387,268.8867089833608,281.372630181164,3379980
2015-07-02,274.4087219238281,280.273596118494,273.23927841199065,275.215479895958,2226580
2015-07-03,271.0497741699219,278.9523773602977,270.4254593407279,277.6334431866304,1795300
2015-07-06,269.0758056640625,272.57756128486017,267.0842019446522,272.57756128486017,772420
2015-07-07,267.5172424316406,272.1401136455508,266.4247316142226,272.1401136455508,1270540
2015-07-08,263.6066589355469,266.4335720100222,262.0327229097341,266.42477052649195,2180020
