Price,Close,High,Low,Open,Volume
Ticker,CUPID.NS,CUPID.NS,CUPID.NS,CUPID.NS,CUPID.NS
Date,,,,,
2016-09-16,2.239258289337158,2.534146754066101,2.186236899677606,2.4041342968512707,27578520
2016-09-19,2.3024487495422363,2.336586446745387,2.251606378795482,2.284290908420661,6128160
2016-09-20,2.3144330978393555,2.3376756739979134,2.289012328909346,2.29627525731566,3301320
2016-09-21,2.322423219680786,2.3678182424205043,2.267222795557714,2.309712937486643,6093720
2016-09-22,2.303901433944702,2.353291878029152,2.287922618788842,2.3311386079779024,2202000
2016-09-23,2.270491123199463,2.323512518183959,2.245432969880655,2.3224230061522926,1540440
2016-09-26,2.2951862812042236,2.316976110526482,2.2152903096236813,2.2516068303629204,2542800
2016-09-27,2.253059148788452,2.3024485556001903,2.251606189136039,2.2951856275665095,1365480
2016-09-28,2.2218263149261475,2.286832953309836,2.1971316140502593,2.2588688857478116,2306880
2016-09-29,2.0983521938323975,2.258143276062216,2.048235678833305,2.244343482851286,4168080
2016-09-30,2.1350317001342773,2.1786111505407733,1.9973928276852706,2.0845517284982624,2368560
2016-10-03,2.2029428482055664,2.2152898893777753,2.113604938977711,2.136846892744258,1886040
2016-10-04,2.1891422271728516,2.233448565316249,2.178974210064633,2.1891422271728516,1325760
2016-10-05,2.1902315616607666,2.2069372730727195,2.052230108387508,2.200763856879239,2191800
2016-10-06,2.1804263591766357,2.2733962532918355,2.149920645139332,2.200764056009974,2735520
2016-10-07,2.235990285873413,2.2690382648359333,2.2152899719528834,2.2370795901505947,2197320
2016-10-10,2.2134742736816406,2.234538034206753,2.1949529849416267,2.229816538380907,1059600
2016-10-13,2.154642105102539,2.215289876605917,2.143383744822294,2.2149272600698873,1658760
2016-10-14,2.225095272064209,2.24071147263979,2.1248624510469143,2.1248624510469143,1653120
2016-10-17,2.289738416671753,2.360555034456955,2.2443433992901833,2.28792284040391,13696080
2016-10-18,2.322423219680786,2.3532923837442197,2.287559662674725,2.2879231104562594,5514720
2016-10-19,2.3765339851379395,2.3896079221106854,2.3024488271664616,2.306080811119567,8182200
2016-10-20,2.3427600860595703,2.4255611378244692,2.3169758660946838,2.4077667427582767,7601640
2016-10-21,2.295548915863037,2.368544548090907,2.2879225406427306,2.368544548090907,4183680
2016-10-24,2.3064441680908203,2.3384018020417296,2.280659119509887,2.3224229850662748,6933480
2016-10-25,2.3137073516845703,2.324238817514977,2.2879231314746873,2.2955495086644255,2037120
2016-10-26,2.326054811477661,2.3674552264877606,2.3108018520081246,2.324238404089162,7842360
2016-10-27,2.2940962314605713,2.3551076561468856,2.279569543447133,2.346028112482949,2931480
2016-10-28,2.6100478172302246,2.7160916577707814,2.374718595628724,2.431735428417637,83878080
2016-11-01,2.560657501220703,2.722628450278048,2.54213621076426,2.6837694616877523,13286520
2016-11-02,2.433187246322632,2.57699950695232,2.4186613892545505,2.57699950695232,8184600
2016-11-03,2.3253281116485596,2.453161558799998,2.2951858456972385,2.453161558799998,8812080
2016-11-04,2.278118133544922,2.4128510981676867,2.2378072161718996,2.3238766125921564,9477360
2016-11-07,2.288649320602417,2.411397842293492,2.2661334277873797,2.3231494320247346,9811200
2016-11-08,2.290470600128174,2.346211369685362,2.2522173147637243,2.313058174928222,5507040
2016-11-09,2.2248928546905518,2.2587744167408377,2.003751189386969,2.1094040266588014,14010600
2016-11-10,2.2715253829956055,2.336009780318259,2.2372800466694116,2.316336754553748,5071680
2016-11-11,2.2117772102355957,2.2584097233596063,2.1935615639458885,2.257316742889282,5004120
2016-11-15,2.1210622787475586,2.257317129103503,2.091187821555193,2.257317129103503,6637800
2016-11-16,2.154578685760498,2.222342009816834,2.1276194065006173,2.185910720382961,4150680
2016-11-17,2.0999321937561035,2.1950194595961605,2.0911885539001642,2.16405284476078,3284520
2016-11-18,2.1476573944091797,2.185910876439818,2.055849120921531,2.127619558395932,4650720
2016-11-21,2.090459108352661,2.222706828039049,2.040547861798143,2.185546325546326,4335480
2016-11-22,2.07916522026062,2.1775311753794915,2.0620425534139586,2.113046783014568,2652720
2016-11-23,2.115962266921997,2.1472932684440114,2.054756598639388,2.1119541151244285,4471320
2016-11-24,2.1411001682281494,2.185911333895834,2.0766157672010426,2.1028466781920225,3144840
2016-11-25,2.14255690574646,2.1859113194568094,2.1294413461052297,2.1855467146119785,5073480
2016-11-28,2.13381290435791,2.178624062075974,2.122154932228158,2.1421927688800526,5145840
2016-11-29,2.1622297763824463,2.1859111616181046,2.113046900324879,2.1425567510382595,3417360
2016-11-30,2.311236619949341,2.331638231416954,2.1567652806747817,2.17789610184662,10497840
2016-12-01,2.27589750289917,2.3502185237834614,2.255131286248617,2.3167015603434575,3778320
2016-12-02,2.215785026550293,2.2591394418897885,2.2048554278493535,2.2591394418897885,2678280
2016-12-05,2.230722188949585,2.295206580997649,2.2154208784516443,2.2216139483736175,2671200
2016-12-06,2.2205209732055664,2.251488407537423,2.1859110348004647,2.249666217409555,2829960
2016-12-07,2.223071813583374,2.2514886855605796,2.1950187125895537,2.2340014117999525,1517040
2016-12-08,2.259503126144409,2.2937492980428233,2.2241648074303786,2.2401944957754805,2515440
2016-12-09,2.238736867904663,2.291198688504942,2.2150565237500244,2.266060758858735,2392800
