Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2015-01-01,217.2353515625,217.77157448998673,215.63811666891775,216.99576911381928,3544940
2015-01-02,220.25868225097656,221.17138787632138,216.85886215263676,216.85886215263676,5900384
2015-01-05,218.39906311035156,221.45661874219482,217.9312903140576,221.33112449819683,4796000
2015-01-06,214.99920654296875,218.2621261811353,213.92677470932165,217.68027916369562,8219680
2015-01-07,215.626708984375,217.07562362747217,213.63016538266783,214.4173767881261,5746112
2015-01-08,220.156005859375,221.0915375059701,216.35687695026266,217.73734145946173,9525824
2015-01-09,222.62033081054688,223.61289267159003,220.55532305822425,221.99284565253987,8985184
2015-01-12,220.65802001953125,222.33512518302234,220.0761728921096,221.1942430011037,4126412
2015-01-13,219.813720703125,221.77604602182961,218.06817966801236,221.0915168488172,5828348
2015-01-14,219.93923950195312,222.3921358239376,218.9808958280074,219.0607519980102,3685232
2015-01-15,226.61341857910156,227.7657067222978,221.50226116688597,225.8946572806769,11398476
2015-01-16,228.4844512939453,231.5762529087491,227.84556010694365,228.67840960590985,7821308
2015-01-19,229.214599609375,232.7399277712668,228.8495229404467,231.1997370727805,4239492
2015-01-20,232.9567108154297,234.3371753238504,228.6327650189855,230.45817631654228,8505804
2015-01-21,232.728515625,235.69479481740572,232.36342503887704,234.42843254404463,6740612
2015-01-22,233.02516174316406,235.59214638904962,232.40908264279494,233.88082329179258,6470680
2015-01-23,237.94239807128906,239.12890439441398,233.7439460875436,235.02172855557862,9987912
2015-01-27,245.07286071777344,245.9171022121031,237.50880788347354,237.98797272764884,9962400
2015-01-28,241.490478515625,249.4424201933735,240.72609317436223,244.14873904887924,11364940
2015-01-29,249.8531951904297,251.1309776499136,242.09519643565835,245.28966651115243,20567616
2015-01-30,245.8258819580078,249.75053343646863,242.83677616600178,249.75053343646863,10570416
2015-02-02,246.79556274414062,249.39677900160342,240.12140374524137,243.80645778885017,5710352
2015-02-03,242.80250549316406,246.932492827494,240.79456985367992,246.08825127562392,10200688
2015-02-04,243.6239471435547,246.61308046277867,241.23951474833416,242.55152913452753,6197512
2015-02-05,245.63189697265625,249.3511834700081,244.2286065283884,245.28963236935016,8059148
2015-02-06,240.38385009765625,246.1909286429744,239.59665261750035,245.74599578089774,6903120
2015-02-09,237.32626342773438,239.98452400645783,236.04848118343773,238.9006861276552,5231896
2015-02-10,240.60060119628906,242.39180827391687,235.0216991871086,235.0216991871086,9275752
2015-02-11,241.5019073486328,242.96224187945407,240.2697492178285,241.41063121791316,4161588
2015-02-12,245.51779174804688,246.86403799841878,240.20127080389918,243.03066356576022,5525740
2015-02-13,243.1904296875,246.8868763997483,242.68842487177508,246.70432412974546,7714500
2015-02-16,243.5897216796875,247.5713886319275,242.43741974324698,245.47217693887035,7388716
2015-02-18,245.2440185546875,247.1036340280853,241.1938872450621,243.58973956906584,5381692
2015-02-19,246.38490295410156,247.5485970946725,242.73408033046496,245.06146861160684,4507004
2015-02-20,244.8447265625,248.68949379346864,243.806512676405,247.11507087369827,6206024
2015-02-23,243.5782928466797,246.7841822218246,242.32332271960078,245.7687805886867,5581564
2015-02-24,243.6125946044922,244.37698014815368,241.2053218939107,244.2172677731453,5846288
2015-02-25,240.14425659179688,245.24402174494068,239.585235517017,244.14876381257923,4648524
2015-02-26,236.88136291503906,240.95430656033113,236.1854136722777,240.41809752837727,12426944
2015-02-27,240.49790954589844,241.53612323801974,238.54699031470355,238.54699031470355,10261784
2015-03-02,247.0123748779297,250.76586554562624,243.69239709074506,246.5103700818961,14385232
2015-03-03,247.1948699951172,249.1686012072606,245.7573755464429,247.90221118607386,6029348
2015-03-04,243.0763397216797,253.11610172067634,241.8669936121925,252.13493202025728,12277624
2015-03-05,247.59420776367188,248.71227770203618,242.43742665909488,243.00786766299865,9702452
2015-03-09,241.63880920410156,246.8412423000633,240.95427999955734,245.75740439286832,5755808
2015-03-10,240.16712951660156,242.38042990264412,238.44438620688456,242.32338579111138,5134836
2015-03-11,241.0569610595703,242.30053922610483,239.58523433295147,239.7905986759501,5465536
2015-03-12,240.6348114013672,242.7568629352068,239.83619404938324,241.8897815259134,7530836
2015-03-13,237.9081268310547,242.77968735530018,236.07129568661193,241.8669817637389,5426780
2015-03-16,239.9389190673828,241.38783372426676,237.87391138111312,238.4443524156002,5348772
2015-03-17,241.4220733642578,243.2132526982741,237.9537750531506,241.86700624375112,5369304
2015-03-18,242.67703247070312,244.58229992720962,240.31538433973995,241.9012271044754,5148332
2015-03-19,240.0872344970703,245.01586779094185,239.28861697213708,244.37696262956774,5373572
2015-03-20,240.9314422607422,241.75287164796535,238.6610705954223,239.81337244172872,6483236
2015-03-23,239.0718231201172,241.73008375105377,238.6725144200836,240.94285845884883,5446740
2015-03-24,236.83570861816406,241.182480645395,236.26526755703495,238.05647477183436,8973564
2015-03-25,235.99147033691406,238.83225572020973,235.27270901898146,237.31490475893494,10608900
2015-03-26,229.76222229003906,235.52366230088396,228.6555584251585,234.31434412710445,35800620
2015-03-27,231.51919555664062,233.54995721079604,230.02462895825124,231.58764569297708,10840896
2015-03-30,236.5961151123047,237.07527998236463,231.09705550736626,232.7399283753724,6955144
2015-03-31,233.35601806640625,237.28065511678096,231.5648248858951,237.28065511678096,5962256
2015-04-01,235.76327514648438,236.5847046500779,231.1427028535095,234.13180824763444,3844196
2015-04-06,235.46664428710938,236.58471431017006,232.69430915419574,236.1625935060176,7151172
2015-04-07,235.64918518066406,236.89273546188096,233.57278544017495,235.76327338457625,6197072
2015-04-08,236.2880401611328,237.862434758432,235.03307018420423,237.31483377861986,4106144
2015-04-09,240.97711181640625,241.6388290057378,235.02171281955611,236.9041682863147,7002784
